file_path,total_changes,developer_count,contributing_developers
some_root_dir/.../some_file,12,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,12,3,"le.vl, se, si.ev"
some_root_dir/.../some_file,12,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,12,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,12,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,11,3,"Ig Ko, Se Ma, le.vl, se"
some_root_dir/.../some_file,11,3,"Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,11,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,11,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,11,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,11,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Kh Mi, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,9,3,"Ev Si, Ig Ko, si.ev"
some_root_dir/.../some_file,9,3,"Ig Ko, le.vl, si.ev"
some_root_dir/.../some_file,9,3,"Ig Ko, Kh Mi, si.ev"
some_root_dir/.../some_file,9,3,"Kh Mi, se, si.ev"
some_root_dir/.../some_file,9,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,8,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,8,3,"Ig Ko, le.vl, si.ev"
some_root_dir/.../some_file,8,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,8,3,"Se Ma, le.vl, si.ev"
some_root_dir/.../some_file,7,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,7,2,"Ig Ko, Se Ma, le.vl"
